PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
1,2,2,17,6,200199,20,600
2,6,5,7,17,40199,7,52817
1,2,2,16,6,190199,15,1791
1,2,2,8,6,60199,20,108000
1,2,2,4,6,30199,7,0
2,6,5,9,19,50601,20,9900
1,2,2,9,6,80199,23,5874
1,2,2,12,6,120199,15,5036
1,2,2,13,6,130199,17,4714
2,6,5,6,36,30199,13,23580
2,6,5,9,19,50601,20,0
2,6,5,10,20,60199,17,11107
2,6,5,12,51,90199,13,345300
2,6,5,13,41,100101,19,46194
1,2,2,4,6,30199,20,1200
2,6,5,6,36,30199,20,0
2,6,5,16,1,140199,18,725
2,6,5,21,9,190199,18,6524
2,6,5,25,4,230199,17,4338
2,6,5,20,2,180199,19,0
2,6,5,14,26,120101,20,0
1,2,2,22,6,150101,20,0
2,6,5,13,41,100101,17,2580
1,2,2,13,6,130199,19,7207
2,6,5,7,17,40199,17,13903
2,6,5,5,19,20199,20,30329
1,1,1,1,6,150101,22,172568
2,6,5,22,12,200199,11,1860
2,6,5,1,61303,150199,21,0
1,2,2,23,6,150101,22,497468
1,2,2,5,6,40199,7,732
2,6,5,13,41,100101,23,751
2,6,5,11,63,80199,7,0
2,6,5,13,41,100101,16,0
2,6,5,15,10,130101,11,684
2,6,5,27,6,150101,19,4400
1,2,2,21,6,250199,15,1491
2,6,5,19,0,170199,11,0
1,2,2,1,0,150101,3,0
1,2,2,12,0,120199,15,0
2,6,5,6,0,30199,9,0
2,6,5,17,0,150303,7,0
2,6,5,5,0,20199,15,2269
1,2,2,12,0,120199,10,1850
2,6,5,27,0,150101,19,21882
2,6,5,18,0,160199,18,26097
2,6,5,16,0,140199,11,60
2,6,5,11,0,80199,15,12480
2,6,5,9,0,50601,9,8452
2,6,5,24,0,220199,21,80
2,6,5,10,0,60199,11,1497
1,2,2,13,0,130199,17,860
